Id,Brand,Product_Name,Price,Category,Subcategory,Certificate1,Certificate2,Certification_Total,Origin,Origin_Grid,Origin_Transport,Origin_Manufacturing,Care_Instruction,Care_CO2,Care_Energy,Care_Water,Weighted_CO2,Weighted_Water,Weighted_Energy,Weighted_Chemical,Mat_Acrylic,Mat_Cashmere,Mat_Cotton,Mat_Elastane,Mat_Lyocell,Mat_Merino Wool,Mat_Nylon,Mat_Organic Cotton,Mat_Polyamide,Mat_Polyester,Mat_Recycled Acrylic,Mat_Recycled Cashmere,Mat_Recycled Cotton,Mat_Recycled Nylon,Mat_Recycled Polyester,Mat_Recycled Wool,Mat_Viscose,Mat_Wool,Score_100
25,Patagonia,Jumper Regular Fit,119.85,Man,Jumper,Fair Trade,Bluesign,0.4,Vietnam,0.45,0.35,0.55,Hand wash,0.015,0.2,8,3.7174,1369.05,43.11,18.817,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100
26,Penneys,Jacket Slim Fit,29.01,Woman,Jacket,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61
27,Penneys,Tshirt Ribbed,4.72,Man,Tshirt,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53
28,Patagonia,Jumper Cropped,238.49,Man,Jumper,Fair Trade,NaN,0.2,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61
29,H&M,Jumper Ribbed,25.16,Man,Jumper,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Hand wash,0.015,0.2,8,27.109,619.76,183.48,55.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57
30,Patagonia,Sweater Cropped,217.77,Man,Sweater,Fair Trade,Bluesign,0.4,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91
31,Patagonia,Jumper Ribbed,144.51,Woman,Jumper,Fair Trade,Bluesign,0.4,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,3.5,15,55,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87
32,Patagonia,Jumper Asymmetric,244.12,Woman,Jumper,Fair Trade,Bluesign,0.4,Turkey,0.4,0.2,0.45,Hand wash,0.015,0.2,8,16,900,170,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100
33,Zara,Jacket Asymmetric,115.33,Woman,Jacket,GRS,NaN,0.2,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,5,20,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67
34,Penneys,Jumper Textured,20.18,Woman,Jumper,NaN,NaN,0,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
35,Patagonia,Sweater Cropped,240.36,Woman,Sweater,Fair Trade,NaN,0.2,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,9,50,150,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
36,H&M,Jumper Regular Fit,21.63,Man,Jumper,RWS,NaN,0.15,Bangladesh,0.55,0.45,0.7,Hand wash,0.015,0.2,8,12.336,1472.46,107.69,45.28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
37,Penneys,Tshirt Textured,10.35,Man,Tshirt,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,5.716,1177.76,57.84,28.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41
38,H&M,Jumper Oversized,22.04,Woman,Jumper,Oeko-Tex 100,NaN,0.1,Portugal,0.25,0.1,0.3,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
39,H&M,Tshirt Textured,11.35,Man,Tshirt,GRS,NaN,0.2,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,2,500,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70
40,Zara,Jacket Regular Fit,96.45,Woman,Jacket,Oeko-Tex 100,NaN,0.1,Bangladesh,0.55,0.45,0.7,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71
41,Penneys,Jumper Slim Fit,10.17,Man,Jumper,NaN,NaN,0,Portugal,0.25,0.1,0.3,Hand wash,0.015,0.2,8,4.5995,113.955,51.335,16.335,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,88
42,Zara,Tshirt Oversized,25.60,Man,Tshirt,GRS,NaN,0.2,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,2.697,290.9,37.425,13.485,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,75
43,H&M,Jumper Textured,38.11,Man,Jumper,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Hand wash,0.015,0.2,8,16,900,170,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
44,H&M,Jacket Ribbed,35.98,Man,Jacket,Oeko-Tex 100,NaN,0.1,Portugal,0.25,0.1,0.3,Machine wash 30°C,0.04,0.5,15,6,2700,55,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
45,H&M,Jumper Slim Fit,23.21,Woman,Jumper,NaN,NaN,0,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43
46,Penneys,Tshirt Asymmetric,10.89,Man,Tshirt,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53
47,H&M,Tshirt Regular Fit,11.52,Man,Tshirt,NaN,NaN,0,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51
48,Zara,Sweater Asymmetric,48.35,Woman,Sweater,NaN,NaN,0,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,4.644,17.86,57.86,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46
49,Penneys,Sweater Textured,22.42,Man,Sweater,NaN,NaN,0,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46
50,Penneys,Jacket Textured,23.87,Woman,Jacket,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5,20,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50
51,Zara,Sweater Slim Fit,41.92,Woman,Sweater,GRS,NaN,0.2,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68
52,Patagonia,Jacket Slim Fit,275.39,Man,Jacket,Fair Trade,Bluesign,0.4,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,8.5,40,140,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85
53,Penneys,Tshirt Cropped,11.57,Woman,Tshirt,NaN,NaN,0,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,9.5,50,120,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40
54,Zara,Tshirt Asymmetric,14.90,Man,Tshirt,Oeko-Tex 100,NaN,0.1,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,9.5,50,120,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49
55,Patagonia,Jacket Ribbed,153.94,Woman,Jacket,Fair Trade,Bluesign,0.4,Bangladesh,0.55,0.45,0.7,Hand wash,0.015,0.2,8,6.5795,119.06,72.7,23.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100
56,H&M,Jumper Cropped,18.03,Woman,Jumper,BCI Cotton,NaN,0.05,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50
57,Patagonia,Jacket Ribbed,291.04,Man,Jacket,Fair Trade,NaN,0.2,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70
58,Penneys,Jacket Textured,22.18,Man,Jacket,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,7.115,1513.64,92.91,37.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
59,Penneys,Tshirt Ribbed,4.36,Man,Tshirt,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,9.188,57.2,116.4,34.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,46
60,Penneys,Jacket Slim Fit,16.87,Man,Jacket,NaN,NaN,0,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,6,1992.45,69.575,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
61,Patagonia,Jacket Asymmetric,336.83,Man,Jacket,Fair Trade,NaN,0.2,Italy,0.3,0.1,0.35,Hand wash,0.015,0.2,8,9.382,907.66,119.825,42.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94
62,Zara,Jacket Ribbed,61.83,Man,Jacket,RWS,NaN,0.15,China,0.65,0.4,0.6,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
63,Zara,Jacket Ribbed,118.46,Woman,Jacket,NaN,NaN,0,Italy,0.3,0.1,0.35,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70
64,Patagonia,Jumper Cropped,169.25,Woman,Jumper,Fair Trade,Bluesign,0.4,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,5,150,50,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100
65,Penneys,Jacket Oversized,37.56,Man,Jacket,NaN,NaN,0,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,7.282,82.96,115.28,39.155,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,71
66,H&M,Sweater Ribbed,31.25,Woman,Sweater,NaN,NaN,0,China,0.65,0.4,0.6,Hand wash,0.015,0.2,8,16.928,781.7,167.32,47.745,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
67,Patagonia,Tshirt Regular Fit,77.65,Man,Tshirt,Fair Trade,NaN,0.2,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,3.3127,1712.78,40.98,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,63
68,Penneys,Tshirt Regular Fit,3.23,Man,Tshirt,NaN,NaN,0,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,9.5,50,120,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48
69,H&M,Jumper Asymmetric,32.43,Man,Jumper,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,3.4667,213.135,53.335,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,47
70,Penneys,Tshirt Regular Fit,8.83,Woman,Tshirt,NaN,NaN,0,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,2.744,276.8,38.6,13.72,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58
71,Patagonia,Jumper Slim Fit,126.42,Man,Jumper,Fair Trade,NaN,0.2,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,5.487,23.96,82.2,29.12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,63
72,H&M,Sweater Slim Fit,21.10,Man,Sweater,Oeko-Tex 100,NaN,0.1,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,6,2700,55,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
73,Patagonia,Jumper Oversized,219.67,Man,Jumper,Fair Trade,Bluesign,0.4,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,5.9216,1014,66.64,23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,100
74,Patagonia,Jacket Regular Fit,294.38,Man,Jacket,Fair Trade,Bluesign,0.4,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,9.5,50,120,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82
75,Zara,Jacket Textured,59.46,Man,Jacket,NaN,NaN,0,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,8.5,40,140,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42
76,Penneys,Sweater Textured,15.71,Man,Sweater,NaN,NaN,0,India,0.5,0.4,0.65,Hand wash,0.015,0.2,8,5,150,50,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79
77,Penneys,Tshirt Textured,7.82,Woman,Tshirt,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,9,50,150,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
78,Penneys,Sweater Asymmetric,22.15,Man,Sweater,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
79,H&M,Jumper Oversized,16.14,Woman,Jumper,RWS,NaN,0.15,Cambodia,0.55,0.45,0.75,Hand wash,0.015,0.2,8,30,700,200,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
80,H&M,Tshirt Regular Fit,9.27,Man,Tshirt,NaN,NaN,0,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,6,2700,55,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
81,Patagonia,Tshirt Cropped,37.94,Man,Tshirt,Fair Trade,Bluesign,0.4,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82
82,Penneys,Tshirt Ribbed,4.07,Man,Tshirt,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5.9485,250.65,87.1,27.755,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,46
83,Patagonia,Sweater Regular Fit,193.15,Woman,Sweater,Fair Trade,Bluesign,0.4,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
84,Zara,Jumper Ribbed,42.08,Woman,Jumper,NaN,NaN,0,China,0.65,0.4,0.6,Machine wash 30°C,0.04,0.5,15,9,50,150,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
85,H&M,Jumper Oversized,32.67,Man,Jumper,Oeko-Tex 100,NaN,0.1,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,6,30,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
86,Patagonia,Tshirt Regular Fit,45.12,Woman,Tshirt,Fair Trade,NaN,0.2,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,3.2,1800,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63
87,Penneys,Jacket Asymmetric,29.06,Man,Jacket,NaN,NaN,0,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,7.427,37.94,112.22,36.79,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49
88,H&M,Jacket Textured,42.73,Man,Jacket,Oeko-Tex 100,NaN,0.1,China,0.65,0.4,0.6,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71
89,Penneys,Tshirt Cropped,9.81,Man,Tshirt,NaN,NaN,0,Cambodia,0.55,0.45,0.75,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46
90,Zara,Jacket Textured,105.14,Woman,Jacket,NaN,NaN,0,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,8.5,40,140,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42
91,H&M,Jumper Oversized,25.29,Man,Jumper,Oeko-Tex 100,NaN,0.1,India,0.5,0.4,0.65,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58
92,Patagonia,Tshirt Oversized,46.36,Woman,Tshirt,Fair Trade,Bluesign,0.4,Italy,0.3,0.1,0.35,Machine wash 30°C,0.04,0.5,15,3.1696,1556.8,40.76,19.24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,92
93,Penneys,Jacket Textured,28.26,Woman,Jacket,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50
94,Penneys,Jacket Textured,29.54,Woman,Jacket,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,6.742,1379.92,84.4,38.94,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40
95,Patagonia,Tshirt Ribbed,79.65,Woman,Tshirt,Fair Trade,Bluesign,0.4,Thailand,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,2.086,474.2,22.15,10.43,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,93
96,Penneys,Jacket Cropped,29.47,Man,Jacket,NaN,NaN,0,Vietnam,0.45,0.35,0.55,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50
97,Patagonia,Jumper Regular Fit,176.24,Woman,Jumper,Fair Trade,Bluesign,0.4,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,5.5,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86
98,Penneys,Tshirt Oversized,9.53,Man,Tshirt,NaN,NaN,0,Turkey,0.4,0.2,0.45,Machine wash 30°C,0.04,0.5,15,9,50,150,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
99,Penneys,Sweater Regular Fit,20.97,Man,Sweater,NaN,NaN,0,Thailand,0.45,0.35,0.55,Hand wash,0.015,0.2,8,5.491,22.34,59.82,19.91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,80
100,Zara,Jacket Asymmetric,65.45,Man,Jacket,Oeko-Tex 100,NaN,0.1,Italy,0.3,0.1,0.35,Hand wash,0.015,0.2,8,14,800,160,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
101,Patagonia,Tshirt Ribbed,57.60,Man,Tshirt,Fair Trade,Bluesign,0.4,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,3.564,1917,41.95,22.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81
102,Zara,Jacket Cropped,92.38,Woman,Jacket,NaN,NaN,0,Bangladesh,0.55,0.45,0.7,Machine wash 30°C,0.04,0.5,15,8.5,40,140,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
103,Patagonia,Tshirt Cropped,49.79,Man,Tshirt,Fair Trade,NaN,0.2,Portugal,0.25,0.1,0.3,Machine wash 30°C,0.04,0.5,15,3,200,45,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79
