Id,Product_Name,Price,Material,Percentage_Material,Certification1,Certification2,Shop_Name,Category,Subcategory,Origin,Care_Instruction
19,Sweater Regular Fit,€ 34.05,Recycled Acrylic,50,RWS,N/A,H&M,Woman,Sweater,India,Hand wash
20,Sweater Slim Fit,€ 15.49,Recycled Cashmere,100,Oeko-Tex 100,N/A,H&M,Man,Sweater,India,Hand wash
21,Jacket Cropped,€ 28.81,Acrylic,100,N/A,N/A,H&M,Woman,Jacket,Turkey,Machine wash 30°C
22,Jumper Regular Fit,€ 213.29,Recycled Acrylic,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,India,Machine wash 30°C
23,Tshirt Ribbed,€ 45.11,Organic Cotton,100,Fair Trade,Bluesign,Patagonia,Man,Tshirt,China,Machine wash 30°C
24,Tshirt Textured,€ 14.47,Organic Cotton,2,N/A,N/A,H&M,Woman,Tshirt,Bangladesh,Machine wash 30°C
24,Tshirt Textured,€ 14.47,Recycled Polyester,67.3,N/A,N/A,H&M,Woman,Tshirt,Bangladesh,Machine wash 30°C
24,Tshirt Textured,€ 14.47,Elastane,30.7,N/A,N/A,H&M,Woman,Tshirt,Bangladesh,Machine wash 30°C
25,Jumper Regular Fit,€ 119.85,Recycled Cashmere,25.9,Fair Trade,Bluesign,Patagonia,Man,Jumper,Vietnam,Hand wash
25,Jumper Regular Fit,€ 119.85,Merino Wool,0.4,Fair Trade,Bluesign,Patagonia,Man,Jumper,Vietnam,Hand wash
25,Jumper Regular Fit,€ 119.85,Organic Cotton,73.7,Fair Trade,Bluesign,Patagonia,Man,Jumper,Vietnam,Hand wash
26,Jacket Slim Fit,€ 29.01,Wool,100,N/A,N/A,Penneys,Woman,Jacket,Bangladesh,Hand wash
27,Tshirt Ribbed,€ 4.72,Recycled Polyester,100,N/A,N/A,Penneys,Man,Tshirt,Turkey,Machine wash 30°C
28,Jumper Cropped,€ 238.49,Organic Cotton,100,Fair Trade,N/A,Patagonia,Man,Jumper,Cambodia,Machine wash 30°C
29,Jumper Ribbed,€ 25.16,Cashmere,88.2,N/A,N/A,H&M,Man,Jumper,Vietnam,Hand wash
29,Jumper Ribbed,€ 25.16,Recycled Polyester,11.8,N/A,N/A,H&M,Man,Jumper,Vietnam,Hand wash
30,Sweater Cropped,€ 217.77,Organic Cotton,100,Fair Trade,Bluesign,Patagonia,Man,Sweater,Italy,Machine wash 30°C
31,Jumper Ribbed,€ 144.51,Recycled Acrylic,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,Cambodia,Machine wash 30°C
32,Jumper Asymmetric,€ 244.12,Merino Wool,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,Turkey,Hand wash
33,Jacket Asymmetric,€ 115.33,Recycled Nylon,100,GRS,N/A,Zara,Woman,Jacket,China,Machine wash 30°C
34,Jumper Textured,€ 20.18,Acrylic,100,N/A,N/A,Penneys,Woman,Jumper,India,Machine wash 30°C
35,Sweater Cropped,€ 240.36,Elastane,100,Fair Trade,N/A,Patagonia,Woman,Sweater,Thailand,Machine wash 30°C
36,Jumper Regular Fit,€ 21.63,Acrylic,26.2,RWS,N/A,H&M,Man,Jumper,Bangladesh,Hand wash
36,Jumper Regular Fit,€ 21.63,Cashmere,26.4,RWS,N/A,H&M,Man,Jumper,Bangladesh,Hand wash
36,Jumper Regular Fit,€ 21.63,Cotton,47.4,RWS,N/A,H&M,Man,Jumper,Bangladesh,Hand wash
37,Tshirt Textured,€ 10.35,Recycled Polyester,56.8,N/A,N/A,Penneys,Man,Tshirt,Bangladesh,Machine wash 30°C
37,Tshirt Textured,€ 10.35,Cotton,43.2,N/A,N/A,Penneys,Man,Tshirt,Bangladesh,Machine wash 30°C
38,Jumper Oversized,€ 22.04,Acrylic,100,Oeko-Tex 100,N/A,H&M,Woman,Jumper,Portugal,Machine wash 30°C
39,Tshirt Textured,€ 11.35,Recycled Cotton,100,GRS,N/A,H&M,Man,Tshirt,China,Machine wash 30°C
40,Jacket Regular Fit,€ 96.45,Wool,100,Oeko-Tex 100,N/A,Zara,Woman,Jacket,Bangladesh,Hand wash
41,Jumper Slim Fit,€ 10.17,Recycled Acrylic,26.7,N/A,N/A,Penneys,Man,Jumper,Portugal,Hand wash
41,Jumper Slim Fit,€ 10.17,Recycled Cashmere,73.3,N/A,N/A,Penneys,Man,Jumper,Portugal,Hand wash
42,Tshirt Oversized,€ 25.60,Recycled Cotton,30.3,GRS,N/A,Zara,Man,Tshirt,Turkey,Machine wash 30°C
42,Tshirt Oversized,€ 25.60,Lyocell,69.7,GRS,N/A,Zara,Man,Tshirt,Turkey,Machine wash 30°C
43,Jumper Textured,€ 38.11,Merino Wool,100,N/A,N/A,H&M,Man,Jumper,Vietnam,Hand wash
44,Jacket Ribbed,€ 35.98,Cotton,100,Oeko-Tex 100,N/A,H&M,Man,Jacket,Portugal,Machine wash 30°C
45,Jumper Slim Fit,€ 23.21,Organic Cotton,100,N/A,N/A,H&M,Woman,Jumper,India,Machine wash 30°C
46,Tshirt Asymmetric,€ 10.89,Recycled Polyester,100,N/A,N/A,Penneys,Man,Tshirt,Turkey,Machine wash 30°C
47,Tshirt Regular Fit,€ 11.52,Organic Cotton,100,N/A,N/A,H&M,Man,Tshirt,Italy,Machine wash 30°C
48,Sweater Asymmetric,€ 48.35,Recycled Acrylic,42.8,N/A,N/A,Zara,Woman,Sweater,Cambodia,Machine wash 30°C
48,Sweater Asymmetric,€ 48.35,Recycled Polyester,57.2,N/A,N/A,Zara,Woman,Sweater,Cambodia,Machine wash 30°C
49,Sweater Textured,€ 22.42,Recycled Polyester,100,N/A,N/A,Penneys,Man,Sweater,Cambodia,Machine wash 30°C
50,Jacket Textured,€ 23.87,Recycled Nylon,100,N/A,N/A,Penneys,Woman,Jacket,Vietnam,Machine wash 30°C
51,Sweater Slim Fit,€ 41.92,Recycled Polyester,100,GRS,N/A,Zara,Woman,Sweater,India,Machine wash 30°C
52,Jacket Slim Fit,€ 275.39,Nylon,100,Fair Trade,Bluesign,Patagonia,Man,Jacket,Turkey,Machine wash 30°C
53,Tshirt Cropped,€ 11.57,Polyester,100,N/A,N/A,Penneys,Woman,Tshirt,India,Machine wash 30°C
54,Tshirt Asymmetric,€ 14.90,Polyester,100,Oeko-Tex 100,N/A,Zara,Man,Tshirt,Bangladesh,Machine wash 30°C
55,Jacket Ribbed,€ 153.94,Recycled Polyester,87.3,Fair Trade,Bluesign,Patagonia,Woman,Jacket,Bangladesh,Hand wash
55,Jacket Ribbed,€ 153.94,Wool,12.7,Fair Trade,Bluesign,Patagonia,Woman,Jacket,Bangladesh,Hand wash
56,Jumper Cropped,€ 18.03,Organic Cotton,100,BCI Cotton,N/A,H&M,Woman,Jumper,Thailand,Machine wash 30°C
57,Jacket Ribbed,€ 291.04,Recycled Polyester,100,Fair Trade,N/A,Patagonia,Man,Jacket,Thailand,Machine wash 30°C
58,Jacket Textured,€ 22.18,Nylon,44.6,N/A,N/A,Penneys,Man,Jacket,Bangladesh,Machine wash 30°C
58,Jacket Textured,€ 22.18,Cotton,55.4,N/A,N/A,Penneys,Man,Jacket,Bangladesh,Machine wash 30°C
59,Tshirt Ribbed,€ 4.36,Lyocell,4.8,N/A,N/A,Penneys,Man,Tshirt,Turkey,Machine wash 30°C
59,Tshirt Ribbed,€ 4.36,Polyester,95.2,N/A,N/A,Penneys,Man,Tshirt,Turkey,Machine wash 30°C
60,Jacket Slim Fit,€ 16.87,Cotton,73.5,N/A,N/A,Penneys,Man,Jacket,Italy,Machine wash 30°C
60,Jacket Slim Fit,€ 16.87,Acrylic,26.5,N/A,N/A,Penneys,Man,Jacket,Italy,Machine wash 30°C
61,Jacket Asymmetric,€ 336.83,Acrylic,37.2,Fair Trade,N/A,Patagonia,Man,Jacket,Italy,Hand wash
61,Jacket Asymmetric,€ 336.83,Wool,42.2,Fair Trade,N/A,Patagonia,Man,Jacket,Italy,Hand wash
61,Jacket Asymmetric,€ 336.83,Cotton,20.7,Fair Trade,N/A,Patagonia,Man,Jacket,Italy,Hand wash
62,Jacket Ribbed,€ 61.83,Wool,100,RWS,N/A,Zara,Man,Jacket,China,Hand wash
63,Jacket Ribbed,€ 118.46,Wool,100,N/A,N/A,Zara,Woman,Jacket,Italy,Hand wash
64,Jumper Cropped,€ 169.25,Recycled Cashmere,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,India,Hand wash
65,Jacket Oversized,€ 37.56,Polyester,22.4,N/A,N/A,Penneys,Man,Jacket,India,Hand wash
65,Jacket Oversized,€ 37.56,Wool,6.3,N/A,N/A,Penneys,Man,Jacket,India,Hand wash
65,Jacket Oversized,€ 37.56,Acrylic,71.2,N/A,N/A,Penneys,Man,Jacket,India,Hand wash
66,Sweater Ribbed,€ 31.25,Wool,81.7,N/A,N/A,H&M,Woman,Sweater,China,Hand wash
66,Sweater Ribbed,€ 31.25,Cashmere,18.3,N/A,N/A,H&M,Woman,Sweater,China,Hand wash
67,Tshirt Regular Fit,€ 77.65,Organic Cotton,95.1,Fair Trade,N/A,Patagonia,Man,Tshirt,India,Machine wash 30°C
67,Tshirt Regular Fit,€ 77.65,Recycled Polyester,4.9,Fair Trade,N/A,Patagonia,Man,Tshirt,India,Machine wash 30°C
68,Tshirt Regular Fit,€ 3.23,Polyester,100,N/A,N/A,Penneys,Man,Tshirt,Italy,Machine wash 30°C
69,Jumper Asymmetric,€ 32.43,Recycled Acrylic,88.9,N/A,N/A,H&M,Man,Jumper,Bangladesh,Machine wash 30°C
69,Jumper Asymmetric,€ 32.43,Organic Cotton,11.1,N/A,N/A,H&M,Man,Jumper,Bangladesh,Machine wash 30°C
70,Tshirt Regular Fit,€ 8.83,Lyocell,74.4,N/A,N/A,Penneys,Woman,Tshirt,Italy,Machine wash 30°C
70,Tshirt Regular Fit,€ 8.83,Recycled Cotton,25.6,N/A,N/A,Penneys,Woman,Tshirt,Italy,Machine wash 30°C
71,Jumper Slim Fit,€ 126.42,Recycled Polyester,42.4,Fair Trade,N/A,Patagonia,Man,Jumper,Cambodia,Machine wash 30°C
71,Jumper Slim Fit,€ 126.42,Acrylic,45.7,Fair Trade,N/A,Patagonia,Man,Jumper,Cambodia,Machine wash 30°C
71,Jumper Slim Fit,€ 126.42,Recycled Acrylic,11.8,Fair Trade,N/A,Patagonia,Man,Jumper,Cambodia,Machine wash 30°C
72,Sweater Slim Fit,€ 21.10,Cotton,100,Oeko-Tex 100,N/A,H&M,Man,Sweater,Italy,Machine wash 30°C
73,Jumper Oversized,€ 219.67,Organic Cotton,44.8,Fair Trade,Bluesign,Patagonia,Man,Jumper,India,Hand wash
73,Jumper Oversized,€ 219.67,Wool,19.2,Fair Trade,Bluesign,Patagonia,Man,Jumper,India,Hand wash
73,Jumper Oversized,€ 219.67,Recycled Cashmere,36,Fair Trade,Bluesign,Patagonia,Man,Jumper,India,Hand wash
74,Jacket Regular Fit,€ 294.38,Polyester,100,Fair Trade,Bluesign,Patagonia,Man,Jacket,Thailand,Machine wash 30°C
75,Jacket Textured,€ 59.46,Nylon,100,N/A,N/A,Zara,Man,Jacket,Thailand,Machine wash 30°C
76,Sweater Textured,€ 15.71,Recycled Cashmere,100,N/A,N/A,Penneys,Man,Sweater,India,Hand wash
77,Tshirt Textured,€ 7.82,Elastane,100,N/A,N/A,Penneys,Woman,Tshirt,Vietnam,Machine wash 30°C
78,Sweater Asymmetric,€ 22.15,Acrylic,100,N/A,N/A,Penneys,Man,Sweater,Vietnam,Machine wash 30°C
79,Jumper Oversized,€ 16.14,Cashmere,100,RWS,N/A,H&M,Woman,Jumper,Cambodia,Hand wash
80,Tshirt Regular Fit,€ 9.27,Cotton,100,N/A,N/A,H&M,Man,Tshirt,Thailand,Machine wash 30°C
81,Tshirt Cropped,€ 37.94,Organic Cotton,100,Fair Trade,Bluesign,Patagonia,Man,Tshirt,Bangladesh,Machine wash 30°C
82,Tshirt Ribbed,€ 4.07,Elastane,39.4,N/A,N/A,Penneys,Man,Tshirt,Vietnam,Machine wash 30°C
82,Tshirt Ribbed,€ 4.07,Polyester,15.9,N/A,N/A,Penneys,Man,Tshirt,Vietnam,Machine wash 30°C
82,Tshirt Ribbed,€ 4.07,Recycled Cotton,44.6,N/A,N/A,Penneys,Man,Tshirt,Vietnam,Machine wash 30°C
83,Sweater Regular Fit,€ 193.15,Acrylic,100,Fair Trade,Bluesign,Patagonia,Woman,Sweater,Vietnam,Machine wash 30°C
84,Jumper Ribbed,€ 42.08,Elastane,100,N/A,N/A,Zara,Woman,Jumper,China,Machine wash 30°C
85,Jumper Oversized,€ 32.67,Acrylic,100,Oeko-Tex 100,N/A,H&M,Man,Jumper,Bangladesh,Machine wash 30°C
86,Tshirt Regular Fit,€ 45.12,Organic Cotton,29.8,Fair Trade,N/A,Patagonia,Woman,Tshirt,India,Machine wash 30°C
86,Tshirt Regular Fit,€ 45.12,Organic Cotton,70.2,Fair Trade,N/A,Patagonia,Woman,Tshirt,India,Machine wash 30°C
87,Jacket Asymmetric,€ 29.06,Recycled Nylon,5,N/A,N/A,Penneys,Man,Jacket,Italy,Machine wash 30°C
87,Jacket Asymmetric,€ 29.06,Polyester,42.2,N/A,N/A,Penneys,Man,Jacket,Italy,Machine wash 30°C
87,Jacket Asymmetric,€ 29.06,Acrylic,52.8,N/A,N/A,Penneys,Man,Jacket,Italy,Machine wash 30°C
88,Jacket Textured,€ 42.73,Wool,100,Oeko-Tex 100,N/A,H&M,Man,Jacket,China,Hand wash
89,Tshirt Cropped,€ 9.81,Recycled Polyester,100,N/A,N/A,Penneys,Man,Tshirt,Cambodia,Machine wash 30°C
90,Jacket Textured,€ 105.14,Nylon,100,N/A,N/A,Zara,Woman,Jacket,Thailand,Machine wash 30°C
91,Jumper Oversized,€ 25.29,Recycled Polyester,100,Oeko-Tex 100,N/A,H&M,Man,Jumper,India,Machine wash 30°C
92,Tshirt Oversized,€ 46.36,Lyocell,15.2,Fair Trade,Bluesign,Patagonia,Woman,Tshirt,Italy,Machine wash 30°C
92,Tshirt Oversized,€ 46.36,Organic Cotton,84.8,Fair Trade,Bluesign,Patagonia,Woman,Tshirt,Italy,Machine wash 30°C
93,Jacket Textured,€ 28.26,Recycled Polyester,100,N/A,N/A,Penneys,Woman,Jacket,Vietnam,Machine wash 30°C
94,Jacket Textured,€ 29.54,Acrylic,28.4,N/A,N/A,Penneys,Woman,Jacket,Vietnam,Machine wash 30°C
94,Jacket Textured,€ 29.54,Polyester,21.2,N/A,N/A,Penneys,Woman,Jacket,Vietnam,Machine wash 30°C
94,Jacket Textured,€ 29.54,Cotton,50.4,N/A,N/A,Penneys,Woman,Jacket,Vietnam,Machine wash 30°C
95,Tshirt Ribbed,€ 79.65,Lyocell,8.6,Fair Trade,Bluesign,Patagonia,Woman,Tshirt,Thailand,Machine wash 30°C
95,Tshirt Ribbed,€ 79.65,Recycled Cotton,91.4,Fair Trade,Bluesign,Patagonia,Woman,Tshirt,Thailand,Machine wash 30°C
96,Jacket Cropped,€ 29.47,Recycled Polyester,100,N/A,N/A,Penneys,Man,Jacket,Vietnam,Machine wash 30°C
97,Jumper Regular Fit,€ 176.24,Recycled Polyester,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,Bangladesh,Machine wash 30°C
98,Tshirt Oversized,€ 9.53,Elastane,100,N/A,N/A,Penneys,Man,Tshirt,Turkey,Machine wash 30°C
99,Sweater Regular Fit,€ 20.97,Recycled Cashmere,1.8,N/A,N/A,Penneys,Man,Sweater,Thailand,Hand wash
99,Sweater Regular Fit,€ 20.97,Recycled Polyester,98.2,N/A,N/A,Penneys,Man,Sweater,Thailand,Hand wash
100,Jacket Asymmetric,€ 65.45,Wool,100,Oeko-Tex 100,N/A,Zara,Man,Jacket,Italy,Hand wash
101,Tshirt Ribbed,€ 57.60,Organic Cotton,86.7,Fair Trade,Bluesign,Patagonia,Man,Tshirt,Bangladesh,Machine wash 30°C
101,Tshirt Ribbed,€ 57.60,Cotton,13,Fair Trade,Bluesign,Patagonia,Man,Tshirt,Bangladesh,Machine wash 30°C
101,Tshirt Ribbed,€ 57.60,Organic Cotton,0.3,Fair Trade,Bluesign,Patagonia,Man,Tshirt,Bangladesh,Machine wash 30°C
102,Jacket Cropped,€ 92.38,Nylon,100,N/A,N/A,Zara,Woman,Jacket,Bangladesh,Machine wash 30°C
103,Tshirt Cropped,€ 49.79,Lyocell,100,Fair Trade,N/A,Patagonia,Man,Tshirt,Portugal,Machine wash 30°C
104,Tshirt Ribbed,€ 14.47,Organic Cotton,40,Oeko-Tex 100,N/A,H&M,Man,Tshirt,Vietnam,Machine wash 30°C
104,Tshirt Ribbed,€ 14.47,Lyocell,29.1,Oeko-Tex 100,N/A,H&M,Man,Tshirt,Vietnam,Machine wash 30°C
104,Tshirt Ribbed,€ 14.47,Viscose,30.9,Oeko-Tex 100,N/A,H&M,Man,Tshirt,Vietnam,Machine wash 30°C
105,Jumper Textured,€ 144.92,Wool,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,China,Hand wash
106,Jacket Ribbed,€ 22.33,Polyester,100,N/A,N/A,Penneys,Man,Jacket,Turkey,Machine wash 30°C
107,Jumper Slim Fit,€ 236.92,Acrylic,100,Fair Trade,Bluesign,Patagonia,Woman,Jumper,Vietnam,Machine wash 30°C
108,Jacket Oversized,€ 62.27,Nylon,100,Oeko-Tex 100,N/A,H&M,Woman,Jacket,Bangladesh,Machine wash 30°C
109,Sweater Slim Fit,€ 226.80,Recycled Cashmere,95,Fair Trade,Bluesign,Patagonia,Woman,Sweater,Italy,Hand wash
109,Sweater Slim Fit,€ 226.80,Recycled Polyester,5,Fair Trade,Bluesign,Patagonia,Woman,Sweater,Italy,Hand wash
110,Sweater Asymmetric,€ 24.63,Wool,100,N/A,N/A,Penneys,Man,Sweater,India,Hand wash
111,Sweater Cropped,€ 219.83,Elastane,100,Fair Trade,Bluesign,Patagonia,Man,Sweater,Vietnam,Machine wash 30°C
112,Tshirt Textured,€ 22.93,Viscose,100,Oeko-Tex 100,N/A,Zara,Man,Tshirt,Thailand,Machine wash 30°C
113,Sweater Textured,€ 15.06,Organic Cotton,17.4,N/A,N/A,Penneys,Woman,Sweater,Turkey,Machine wash 30°C
113,Sweater Textured,€ 15.06,Elastane,4.8,N/A,N/A,Penneys,Woman,Sweater,Turkey,Machine wash 30°C
113,Sweater Textured,€ 15.06,Acrylic,77.8,N/A,N/A,Penneys,Woman,Sweater,Turkey,Machine wash 30°C
114,Sweater Cropped,€ 57.77,Merino Wool,67.6,Oeko-Tex 100,N/A,Zara,Man,Sweater,Portugal,Hand wash
114,Sweater Cropped,€ 57.77,Cashmere,27.8,Oeko-Tex 100,N/A,Zara,Man,Sweater,Portugal,Hand wash
114,Sweater Cropped,€ 57.77,Recycled Cashmere,4.5,Oeko-Tex 100,N/A,Zara,Man,Sweater,Portugal,Hand wash
115,Sweater Asymmetric,€ 218.60,Cotton,100,Fair Trade,Bluesign,Patagonia,Woman,Sweater,India,Machine wash 30°C
116,Jacket Cropped,€ 34.16,Recycled Nylon,100,N/A,N/A,Penneys,Man,Jacket,Bangladesh,Machine wash 30°C
117,Sweater Regular Fit,€ 20.53,Recycled Polyester,18,N/A,N/A,H&M,Woman,Sweater,Thailand,Hand wash
117,Sweater Regular Fit,€ 20.53,Merino Wool,19,N/A,N/A,H&M,Woman,Sweater,Thailand,Hand wash
117,Sweater Regular Fit,€ 20.53,Cashmere,63.1,N/A,N/A,H&M,Woman,Sweater,Thailand,Hand wash
118,Sweater Slim Fit,€ 17.90,Cotton,100,N/A,N/A,H&M,Woman,Sweater,Cambodia,Machine wash 30°C
119,Jumper Slim Fit,€ 198.24,Wool,26.5,Fair Trade,Bluesign,Patagonia,Man,Jumper,Italy,Hand wash
119,Jumper Slim Fit,€ 198.24,Recycled Acrylic,56.9,Fair Trade,Bluesign,Patagonia,Man,Jumper,Italy,Hand wash
119,Jumper Slim Fit,€ 198.24,Recycled Cashmere,16.7,Fair Trade,Bluesign,Patagonia,Man,Jumper,Italy,Hand wash
120,Sweater Asymmetric,€ 59.24,Wool,4.5,N/A,N/A,Zara,Man,Sweater,Cambodia,Hand wash
120,Sweater Asymmetric,€ 59.24,Recycled Polyester,44.5,N/A,N/A,Zara,Man,Sweater,Cambodia,Hand wash
120,Sweater Asymmetric,€ 59.24,Acrylic,51,N/A,N/A,Zara,Man,Sweater,Cambodia,Hand wash
121,Jacket Asymmetric,€ 61.45,Recycled Polyester,35.9,N/A,N/A,H&M,Woman,Jacket,China,Machine wash 30°C
121,Jacket Asymmetric,€ 61.45,Acrylic,64.1,N/A,N/A,H&M,Woman,Jacket,China,Machine wash 30°C
122,Jumper Cropped,€ 54.79,Acrylic,47.9,RWS,N/A,Zara,Man,Jumper,Turkey,Hand wash
122,Jumper Cropped,€ 54.79,Cashmere,52.1,RWS,N/A,Zara,Man,Jumper,Turkey,Hand wash
123,Tshirt Textured,€ 27.33,Polyester,100,Oeko-Tex 100,N/A,Zara,Woman,Tshirt,China,Machine wash 30°C
124,Sweater Asymmetric,€ 25.07,Merino Wool,100,N/A,N/A,Zara,Man,Sweater,Cambodia,Hand wash
125,Tshirt Slim Fit,€ 7.53,Cotton,100,N/A,N/A,Penneys,Woman,Tshirt,Cambodia,Machine wash 30°C
126,Jacket Cropped,€ 47.09,Polyester,79.9,Oeko-Tex 100,N/A,H&M,Woman,Jacket,Thailand,Machine wash 30°C
126,Jacket Cropped,€ 47.09,Cotton,3.7,Oeko-Tex 100,N/A,H&M,Woman,Jacket,Thailand,Machine wash 30°C
126,Jacket Cropped,€ 47.09,Nylon,16.4,Oeko-Tex 100,N/A,H&M,Woman,Jacket,Thailand,Machine wash 30°C
127,Sweater Regular Fit,€ 45.32,Cotton,2.2,N/A,N/A,Zara,Man,Sweater,Italy,Machine wash 30°C
127,Sweater Regular Fit,€ 45.32,Organic Cotton,71.2,N/A,N/A,Zara,Man,Sweater,Italy,Machine wash 30°C
127,Sweater Regular Fit,€ 45.32,Recycled Polyester,26.6,N/A,N/A,Zara,Man,Sweater,Italy,Machine wash 30°C
128,Jumper Slim Fit,€ 26.29,Cotton,100,N/A,N/A,H&M,Woman,Jumper,Italy,Machine wash 30°C
129,Sweater Slim Fit,€ 22.81,Merino Wool,21,N/A,N/A,H&M,Man,Sweater,Portugal,Hand wash
129,Sweater Slim Fit,€ 22.81,Elastane,70.5,N/A,N/A,H&M,Man,Sweater,Portugal,Hand wash
129,Sweater Slim Fit,€ 22.81,Organic Cotton,8.5,N/A,N/A,H&M,Man,Sweater,Portugal,Hand wash
130,Sweater Cropped,€ 18.25,Merino Wool,100,N/A,N/A,H&M,Woman,Sweater,Cambodia,Hand wash
131,Tshirt Oversized,€ 62.02,Organic Cotton,100,Fair Trade,Bluesign,Patagonia,Man,Tshirt,Bangladesh,Machine wash 30°C
132,Jumper Cropped,€ 116.23,Recycled Polyester,27.3,Fair Trade,N/A,Patagonia,Man,Jumper,Bangladesh,Machine wash 30°C
132,Jumper Cropped,€ 116.23,Organic Cotton,72.7,Fair Trade,N/A,Patagonia,Man,Jumper,Bangladesh,Machine wash 30°C
133,Sweater Asymmetric,€ 19.51,Cashmere,100,RWS,N/A,H&M,Man,Sweater,Portugal,Hand wash
134,Jumper Textured,€ 30.83,Recycled Polyester,76.4,N/A,N/A,H&M,Woman,Jumper,Bangladesh,Machine wash 30°C
134,Jumper Textured,€ 30.83,Elastane,23.6,N/A,N/A,H&M,Woman,Jumper,Bangladesh,Machine wash 30°C
135,Sweater Oversized,€ 48.86,Elastane,100,N/A,N/A,Zara,Woman,Sweater,China,Machine wash 30°C
136,Sweater Slim Fit,€ 31.55,Recycled Cashmere,100,Oeko-Tex 100,N/A,H&M,Man,Sweater,Thailand,Hand wash
