Id,Brand,Product_Name,Price,Category,Subcategory,Score_100,S_final,S_env,Score_env_burden,Certification_Total,Material_CO2_norm,Material_Water_norm,Material_Energy_norm,Material_Chemical_norm,Care_CO2_norm,Care_Water_norm,Care_Energy_norm,Origin_Grid_norm,Origin_Transport_norm,Origin_Manufacturing_norm
11,H&M,Sweater Cropped,€ 30.72,Man,Sweater,88.0,0.8790023345944734,0.7790023345944734,0.2209976654055265,0.1,0.1431707317073171,0.03552026124387709,0.30990099009900984,0.3713846710050615,0.0,0.0,0.0,0.45,0.35,0.55
12,H&M,Jacket Oversized,€ 49.94,Man,Jacket,63.0,0.629130928449397,0.529130928449397,0.4708690715506029,0.1,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45
13,Zara,Jumper Ribbed,€ 38.49,Man,Jumper,57.0,0.5690353871182295,0.46903538711822956,0.5309646128817704,0.1,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
14,Zara,Tshirt Cropped,€ 16.31,Man,Tshirt,43.0,0.43369521175107517,0.43369521175107517,0.5663047882489248,0.0,0.1289198606271777,0.14650437880362177,0.22992299229922988,0.4577006507592191,1.0,1.0,1.0,0.55,0.45,0.7
15,Patagonia,Jacket Textured,€ 225.54,Man,Jacket,86.0,0.8633616428935444,0.4633616428935444,0.5366383571064556,0.4,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.4,0.2,0.45
16,Patagonia,Jacket Oversized,€ 170.44,Woman,Jacket,72.0,0.7245349591267561,0.3245349591267561,0.6754650408732439,0.4,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.55,0.45,0.75
17,H&M,Jumper Textured,€ 19.00,Man,Jumper,46.0,0.4561259884083141,0.3561259884083141,0.6438740115916859,0.1,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.55,0.45,0.7
18,H&M,Tshirt Textured,€ 18.27,Man,Tshirt,59.0,0.5884513464644866,0.5884513464644866,0.4115486535355134,0.0,0.059233449477351915,0.07228736826480629,0.1474147414741474,0.18655097613882865,1.0,1.0,1.0,0.25,0.1,0.3
19,H&M,Sweater Regular Fit,€ 34.05,Woman,Sweater,80.0,0.8041261988285225,0.6541261988285225,0.3458738011714775,0.15,0.5383275261324042,0.1307332640641235,0.6012101210121011,0.6384671005061461,0.0,0.0,0.0,0.5,0.4,0.65
20,H&M,Sweater Slim Fit,€ 15.49,Man,Sweater,89.0,0.8905878555854716,0.7905878555854716,0.20941214441452835,0.1,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65
21,H&M,Jacket Cropped,€ 28.81,Woman,Jacket,46.0,0.4633616428935444,0.4633616428935444,0.5366383571064556,0.0,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.4,0.2,0.45
22,Patagonia,Jumper Regular Fit,€ 213.29,Woman,Jumper,89.0,0.8890353871182295,0.48903538711822947,0.5109646128817705,0.4,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
23,Patagonia,Tshirt Ribbed,€ 45.11,Man,Tshirt,82.0,0.8220928264620924,0.42209282646209234,0.5779071735379077,0.4,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.65,0.4,0.6
24,H&M,Tshirt Textured,€ 14.47,Woman,Tshirt,43.0,0.4300326498170386,0.4300326498170386,0.5699673501829614,0.0,0.18217770034843203,0.022120379991093956,0.3797029702970296,0.4156724511930585,1.0,1.0,1.0,0.55,0.45,0.7
25,Patagonia,Jumper Regular Fit,€ 119.85,Man,Jumper,100.0,1.0,0.766709745384897,0.233290254615103,0.4,0.08422996515679441,0.5061043491168175,0.137018701870187,0.2555495300072307,0.0,0.0,0.0,0.45,0.35,0.55
26,Penneys,Jacket Slim Fit,€ 29.01,Woman,Jacket,61.0,0.6053724566137964,0.6053724566137964,0.3946275433862036,0.0,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.55,0.45,0.7
27,Penneys,Tshirt Ribbed,€ 4.72,Man,Tshirt,53.0,0.529130928449397,0.529130928449397,0.4708690715506029,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45
28,Patagonia,Jumper Cropped,€ 238.49,Man,Jumper,61.0,0.6120928264620924,0.41209282646209233,0.5879071735379077,0.2,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
29,H&M,Jumper Ribbed,€ 25.16,Man,Jumper,57.0,0.569886852852264,0.569886852852264,0.4301131471477359,0.0,0.8992682926829269,0.22805402998367222,0.9091309130913092,0.9146782357194505,0.0,0.0,0.0,0.45,0.35,0.55
30,Patagonia,Sweater Cropped,€ 217.77,Man,Sweater,91.0,0.9120928264620924,0.5120928264620924,0.4879071735379076,0.4,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.3,0.1,0.35
31,Patagonia,Jumper Ribbed,€ 144.51,Woman,Jumper,87.0,0.8690353871182296,0.46903538711822956,0.5309646128817704,0.4,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
32,Patagonia,Jumper Asymmetric,€ 244.12,Woman,Jumper,100.0,1.0,0.6487694214244597,0.3512305785755403,0.4,0.5121951219512195,0.3320469051506605,0.834983498349835,0.7830802603036876,0.0,0.0,0.0,0.4,0.2,0.45
33,Zara,Jacket Asymmetric,€ 115.33,Woman,Jacket,67.0,0.6689878676680758,0.46898786766807576,0.5310121323319242,0.2,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.65,0.4,0.6
34,Penneys,Jumper Textured,€ 20.18,Woman,Jumper,41.0,0.4133616428935445,0.4133616428935445,0.5866383571064555,0.0,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.5,0.4,0.65
35,Patagonia,Sweater Cropped,€ 240.36,Woman,Sweater,59.0,0.5911259884083142,0.39112598840831425,0.6088740115916857,0.2,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.45,0.35,0.55
36,H&M,Jumper Regular Fit,€ 21.63,Man,Jumper,76.0,0.7644836118464383,0.6144836118464383,0.3855163881535617,0.15,0.3845296167247387,0.5444782544159121,0.4922442244224422,0.7339117859725235,0.0,0.0,0.0,0.55,0.45,0.7
37,Penneys,Tshirt Textured,€ 10.35,Man,Tshirt,41.0,0.4059854697020162,0.4059854697020162,0.5940145302979838,0.0,0.15386759581881534,0.43511948938696743,0.21804180418041802,0.43311641359363706,1.0,1.0,1.0,0.55,0.45,0.7
38,H&M,Jumper Oversized,€ 22.04,Woman,Jumper,60.0,0.6033616428935445,0.5033616428935446,0.49663835710645543,0.1,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.25,0.1,0.3
39,H&M,Tshirt Textured,€ 11.35,Man,Tshirt,70.0,0.7035928130660156,0.5035928130660157,0.49640718693398433,0.2,0.024390243902439022,0.18361288407302953,0.009900990099009905,0.09616775126536516,1.0,1.0,1.0,0.65,0.4,0.6
40,Zara,Jacket Regular Fit,€ 96.45,Woman,Jacket,71.0,0.7053724566137963,0.6053724566137964,0.3946275433862036,0.1,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.55,0.45,0.7
41,Penneys,Jumper Slim Fit,€ 10.17,Man,Jumper,88.0,0.880173346504718,0.880173346504718,0.11982665349528202,0.0,0.1149651567944251,0.040357354905744394,0.18226072607260727,0.21068329718004342,0.0,0.0,0.0,0.25,0.1,0.3
42,Zara,Tshirt Oversized,€ 25.60,Man,Tshirt,75.0,0.7530392108447499,0.5530392108447499,0.4469607891552501,0.2,0.04867595818815331,0.10601899955469793,0.10574807480748077,0.15916485900216923,1.0,1.0,1.0,0.4,0.2,0.45
43,H&M,Jumper Textured,€ 38.11,Man,Jumper,62.0,0.6187694214244597,0.6187694214244597,0.3812305785755403,0.0,0.5121951219512195,0.3320469051506605,0.834983498349835,0.7830802603036876,0.0,0.0,0.0,0.45,0.35,0.55
44,H&M,Jacket Ribbed,€ 35.98,Man,Jacket,53.0,0.5345349591267562,0.4345349591267562,0.5654650408732438,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.25,0.1,0.3
45,H&M,Jumper Slim Fit,€ 23.21,Woman,Jumper,43.0,0.43209282646209224,0.43209282646209224,0.5679071735379078,0.0,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
46,Penneys,Tshirt Asymmetric,€ 10.89,Man,Tshirt,53.0,0.529130928449397,0.529130928449397,0.4708690715506029,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45
47,H&M,Tshirt Regular Fit,€ 11.52,Man,Tshirt,51.0,0.5120928264620924,0.5120928264620924,0.4879071735379076,0.0,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.3,0.1,0.35
48,Zara,Sweater Asymmetric,€ 48.35,Woman,Sweater,46.0,0.4633700367596574,0.4633700367596574,0.5366299632403426,0.0,0.11651567944250872,0.004697936767107021,0.2181518151815182,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
49,Penneys,Sweater Textured,€ 22.42,Man,Sweater,46.0,0.4591309284493972,0.4591309284493972,0.5408690715506028,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
50,Penneys,Jacket Textured,€ 23.87,Woman,Jacket,50.0,0.4989878676680759,0.4989878676680759,0.5010121323319241,0.0,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.45,0.35,0.55
51,Zara,Sweater Slim Fit,€ 41.92,Woman,Sweater,68.0,0.6791309284493972,0.4791309284493971,0.5208690715506029,0.2,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
52,Patagonia,Jacket Slim Fit,€ 275.39,Man,Jacket,85.0,0.8468164287694521,0.44681642876945205,0.553183571230548,0.4,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.4,0.2,0.45
53,Penneys,Tshirt Cropped,€ 11.57,Woman,Tshirt,40.0,0.4039621232692776,0.4039621232692776,0.5960378767307224,0.0,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.5,0.4,0.65
54,Zara,Tshirt Asymmetric,€ 14.90,Man,Tshirt,49.0,0.4889621232692777,0.3889621232692777,0.6110378767307223,0.1,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.55,0.45,0.7
55,Patagonia,Jacket Ribbed,€ 153.94,Woman,Jacket,100.0,1.0,0.7439686025262758,0.25603139747372416,0.4,0.18395470383275261,0.04225174409974766,0.29977997799779976,0.33432754880694143,0.0,0.0,0.0,0.55,0.45,0.7
56,H&M,Jumper Cropped,€ 18.03,Woman,Jumper,50.0,0.5020928264620924,0.45209282646209237,0.5479071735379076,0.05,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55
57,Patagonia,Jacket Ribbed,€ 291.04,Man,Jacket,70.0,0.6991309284493972,0.4991309284493972,0.5008690715506028,0.2,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55
58,Penneys,Jacket Textured,€ 22.18,Man,Jacket,35.0,0.35285249458739854,0.35285249458739854,0.6471475054126015,0.0,0.20261324041811848,0.559759536885854,0.4109460946094609,0.5981561822125813,1.0,1.0,1.0,0.55,0.45,0.7
59,Penneys,Tshirt Ribbed,€ 4.36,Man,Tshirt,46.0,0.45849760598264766,0.45849760598264766,0.5415023940173523,0.0,0.27484320557491293,0.019296422740092026,0.5401540154015402,0.5307302964569776,1.0,1.0,1.0,0.4,0.2,0.45
60,Penneys,Jacket Slim Fit,€ 16.87,Man,Jacket,44.0,0.4427740303249551,0.4427740303249551,0.5572259696750449,0.0,0.1637630662020906,0.7374387709663054,0.2825907590759076,0.6384671005061461,1.0,1.0,1.0,0.3,0.1,0.35
61,Patagonia,Jacket Asymmetric,€ 336.83,Man,Jacket,94.0,0.9397182509347588,0.7397182509347587,0.26028174906524126,0.2,0.281602787456446,0.33488941665429717,0.5589933993399341,0.6773318872017354,0.0,0.0,0.0,0.3,0.1,0.35
62,Zara,Jacket Ribbed,€ 61.83,Man,Jacket,76.0,0.7603724566137965,0.6103724566137965,0.3896275433862036,0.15,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6
63,Zara,Jacket Ribbed,€ 118.46,Woman,Jacket,70.0,0.7003724566137964,0.7003724566137964,0.29962754338620357,0.0,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.3,0.1,0.35
64,Patagonia,Jumper Cropped,€ 169.25,Woman,Jumper,100.0,1.0,0.7905878555854716,0.20941214441452835,0.4,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65
65,Penneys,Jacket Oversized,€ 37.56,Man,Jacket,71.0,0.7055526635710915,0.7055526635710915,0.2944473364289085,0.0,0.20843205574912893,0.028855573697491466,0.533993399339934,0.6231923355025307,0.0,0.0,0.0,0.5,0.4,0.65
66,H&M,Sweater Ribbed,€ 31.25,Woman,Sweater,59.0,0.5918610099820749,0.5918610099820749,0.4081389900179251,0.0,0.5445296167247387,0.28814754341695115,0.8202420242024202,0.778470715835141,0.0,0.0,0.0,0.65,0.4,0.6
67,Patagonia,Tshirt Regular Fit,€ 77.65,Man,Tshirt,63.0,0.6343976934594702,0.4343976934594702,0.5656023065405298,0.2,0.07012891986062716,0.6336574142793527,0.1253025302530253,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
68,Penneys,Tshirt Regular Fit,€ 3.23,Man,Tshirt,48.0,0.4839621232692778,0.4839621232692778,0.5160378767307222,0.0,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.3,0.1,0.35
69,H&M,Jumper Asymmetric,€ 32.43,Man,Jumper,47.0,0.46771476288539826,0.46771476288539826,0.5322852371146017,0.0,0.07549477351916375,0.07716157043194301,0.19326182618261828,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.7
70,Penneys,Tshirt Regular Fit,€ 8.83,Woman,Tshirt,58.0,0.5823275619144781,0.5823275619144781,0.41767243808552196,0.0,0.05031358885017422,0.10078670031171144,0.11221122112211221,0.16341287057122203,1.0,1.0,1.0,0.3,0.1,0.35
71,Patagonia,Jumper Slim Fit,€ 126.42,Man,Jumper,63.0,0.6303321535967457,0.4303321535967457,0.5696678464032543,0.2,0.14588850174216028,0.0069615555885408935,0.352035203520352,0.4417932031814895,1.0,1.0,1.0,0.55,0.45,0.75
72,H&M,Sweater Slim Fit,€ 21.10,Man,Sweater,52.0,0.5245349591267562,0.4245349591267562,0.5754650408732438,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.3,0.1,0.35
73,Patagonia,Jumper Oversized,€ 219.67,Man,Jumper,100.0,1.0,0.7317007259356361,0.26829927406436394,0.4,0.16103135888501743,0.3743506011577853,0.26644664466446644,0.33116413593637023,0.0,0.0,0.0,0.5,0.4,0.65
74,Patagonia,Jacket Regular Fit,€ 294.38,Man,Jacket,82.0,0.8239621232692778,0.42396212326927774,0.5760378767307223,0.4,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.45,0.35,0.55
75,Zara,Jacket Textured,€ 59.46,Man,Jacket,42.0,0.41681642876945213,0.41681642876945213,0.5831835712305479,0.0,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.45,0.35,0.55
76,Penneys,Sweater Textured,€ 15.71,Man,Sweater,79.0,0.7905878555854716,0.7905878555854716,0.20941214441452835,0.0,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65
77,Penneys,Tshirt Textured,€ 7.82,Woman,Tshirt,39.0,0.39112598840831425,0.39112598840831425,0.6088740115916857,0.0,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.45,0.35,0.55
78,Penneys,Sweater Asymmetric,€ 22.15,Man,Sweater,43.0,0.4333616428935445,0.4333616428935445,0.5666383571064555,0.0,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.45,0.35,0.55
79,H&M,Jumper Oversized,€ 16.14,Woman,Jumper,65.0,0.6492170105388155,0.4992170105388155,0.5007829894611845,0.15,1.0,0.257829894611845,1.0,1.0,0.0,0.0,0.0,0.55,0.45,0.75
80,H&M,Tshirt Regular Fit,€ 9.27,Man,Tshirt,36.0,0.36453495912675615,0.36453495912675615,0.6354650408732438,0.0,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.45,0.35,0.55
81,Patagonia,Tshirt Cropped,€ 37.94,Man,Tshirt,82.0,0.8170928264620924,0.41709282646209234,0.5829071735379077,0.4,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.7
82,Penneys,Tshirt Ribbed,€ 4.07,Man,Tshirt,46.0,0.4600842051120344,0.4600842051120344,0.5399157948879656,0.0,0.1619686411149826,0.09108282618376132,0.37898789878987893,0.4171185827910339,1.0,1.0,1.0,0.45,0.35,0.55
83,Patagonia,Sweater Regular Fit,€ 193.15,Woman,Sweater,83.0,0.8333616428935445,0.4333616428935445,0.5666383571064555,0.4,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.45,0.35,0.55
84,Zara,Jumper Ribbed,€ 42.08,Woman,Jumper,36.0,0.3611259884083141,0.3611259884083141,0.6388740115916859,0.0,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.65,0.4,0.6
85,H&M,Jumper Oversized,€ 32.67,Man,Jumper,50.0,0.49836164289354445,0.3983616428935445,0.6016383571064555,0.1,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.55,0.45,0.7
86,Patagonia,Tshirt Regular Fit,€ 45.12,Woman,Tshirt,63.0,0.6320928264620922,0.43209282646209224,0.5679071735379078,0.2,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
87,Penneys,Jacket Asymmetric,€ 29.06,Man,Jacket,49.0,0.49267635685083055,0.49267635685083055,0.5073236431491694,0.0,0.2134843205574913,0.012149324625204095,0.5171617161716172,0.5804410701373827,1.0,1.0,1.0,0.3,0.1,0.35
88,H&M,Jacket Textured,€ 42.73,Man,Jacket,71.0,0.7103724566137964,0.6103724566137965,0.3896275433862036,0.1,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6
89,Penneys,Tshirt Cropped,€ 9.81,Man,Tshirt,46.0,0.4591309284493972,0.4591309284493972,0.5408690715506028,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75
90,Zara,Jacket Textured,€ 105.14,Woman,Jacket,42.0,0.41681642876945213,0.41681642876945213,0.5831835712305479,0.0,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.45,0.35,0.55
91,H&M,Jumper Oversized,€ 25.29,Man,Jumper,58.0,0.5791309284493971,0.4791309284493971,0.5208690715506029,0.1,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65
92,Patagonia,Tshirt Oversized,€ 46.36,Woman,Tshirt,92.0,0.9221793215024564,0.5221793215024564,0.47782067849754367,0.4,0.06514285714285714,0.5757755677601305,0.12409240924092411,0.2631959508315257,1.0,1.0,1.0,0.3,0.1,0.35
93,Penneys,Jacket Textured,€ 28.26,Woman,Jacket,50.0,0.4991309284493972,0.4991309284493972,0.5008690715506028,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55
94,Penneys,Jacket Textured,€ 29.54,Woman,Jacket,40.0,0.39668029611473865,0.39668029611473865,0.6033197038852613,0.0,0.18961672473867594,0.5101380436396021,0.36413641364136407,0.6193058568329718,1.0,1.0,1.0,0.45,0.35,0.55
95,Patagonia,Tshirt Ribbed,€ 79.65,Woman,Tshirt,93.0,0.9322906469382842,0.5322906469382842,0.46770935306171585,0.4,0.027386759581881543,0.17403888971352233,0.02172717271727174,0.10394070860448301,1.0,1.0,1.0,0.45,0.35,0.55
96,Penneys,Jacket Cropped,€ 29.47,Man,Jacket,50.0,0.4991309284493972,0.4991309284493972,0.5008690715506028,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55
97,Patagonia,Jumper Regular Fit,€ 176.24,Woman,Jumper,86.0,0.8641309284493971,0.4641309284493971,0.5358690715506029,0.4,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.7
98,Penneys,Tshirt Oversized,€ 9.53,Man,Tshirt,42.0,0.42112598840831406,0.42112598840831406,0.5788740115916859,0.0,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.4,0.2,0.45
99,Penneys,Sweater Regular Fit,€ 20.97,Man,Sweater,80.0,0.7993371531378465,0.7993371531378465,0.20066284686215355,0.0,0.14602787456445993,0.006360397803176488,0.22893289328932895,0.2753073029645698,0.0,0.0,0.0,0.45,0.35,0.55
100,Zara,Jacket Asymmetric,€ 65.45,Man,Jacket,80.0,0.8003724566137964,0.7003724566137964,0.29962754338620357,0.1,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.3,0.1,0.35
101,Patagonia,Tshirt Ribbed,€ 57.60,Man,Tshirt,81.0,0.8057103037084986,0.4057103037084986,0.5942896962915014,0.4,0.0788850174216028,0.7094404037405373,0.13063806380638066,0.3239334779464932,1.0,1.0,1.0,0.55,0.45,0.7
102,Zara,Jacket Cropped,€ 92.38,Woman,Jacket,38.0,0.3818164287694521,0.3818164287694521,0.6181835712305479,0.0,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.55,0.45,0.7
103,Patagonia,Tshirt Cropped,€ 49.79,Man,Tshirt,79.0,0.7884513464644867,0.5884513464644866,0.4115486535355134,0.2,0.059233449477351915,0.07228736826480629,0.1474147414741474,0.18655097613882865,1.0,1.0,1.0,0.25,0.1,0.3
104,H&M,Tshirt Ribbed,€ 14.47,Man,Tshirt,58.0,0.5765332928370848,0.4765332928370848,0.5234667071629152,0.1,0.08355400696864114,0.33271485824550984,0.16190869086908694,0.30648951554591464,1.0,1.0,1.0,0.45,0.35,0.55
105,Patagonia,Jumper Textured,€ 144.92,Woman,Jumper,100.0,1.0,0.6103724566137965,0.3896275433862036,0.4,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6
106,Penneys,Jacket Ribbed,€ 22.33,Man,Jacket,45.0,0.45396212326927765,0.45396212326927765,0.5460378767307223,0.0,0.2857142857142857,0.01662461036069467,0.5599559955995599,0.5480838756326826,1.0,1.0,1.0,0.4,0.2,0.45
107,Patagonia,Jumper Slim Fit,€ 236.92,Woman,Jumper,83.0,0.8333616428935445,0.4333616428935445,0.5666383571064555,0.4,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.45,0.35,0.55
108,H&M,Jacket Oversized,€ 62.27,Woman,Jacket,48.0,0.4818164287694521,0.3818164287694521,0.6181835712305479,0.1,0.2508710801393728,0.012913759833753894,0.6699669966996699,0.5480838756326826,1.0,1.0,1.0,0.55,0.45,0.7
