Id,Brand,Product_Name,Price,Category,Subcategory,Material,Percentage_Material,Material_CO2,Material_Water,Material_Energy,Material_Chemical,Care_Instruction,Care_CO2,Care_Energy,Care_Water,Origin,Origin_Grid,Origin_Transport,Origin_Manufacturing,Certificate1,Cert1_Bonus,Certificate2,Cert2_Bonus,Price_num
5,Patagonia,Women's Recycled Wool-Blend Crewneck Sweater,€ 160.00,Woman,Sweater,Recycled Nylon,26.0,5.0,20.0,70.0,18.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,,0.0,160.0
6,Patagonia,Women's Better Sweater™ 1/4-Zip Fleece,€ 130.00,Woman,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Bluesign,0.2,Fair Trade,0.2,130.0
7,H&M,Tshirt Textured,€ 9.13,Woman,Tshirt,Lyocell,13.5,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,9.13
7,H&M,Tshirt Textured,€ 9.13,Woman,Tshirt,Cotton,86.5,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,9.13
8,Zara,Jumper Regular Fit,€ 44.08,Woman,Jumper,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Oeko-Tex 100,0.1,,0.0,44.08
9,Zara,Jacket Oversized,€ 62.23,Woman,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,62.23
10,Penneys,Sweater Cropped,€ 8.74,Man,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,8.74
11,H&M,Sweater Cropped,€ 30.72,Man,Sweater,Recycled Cashmere,59.1,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Oeko-Tex 100,0.1,,0.0,30.72
11,H&M,Sweater Cropped,€ 30.72,Man,Sweater,Acrylic,40.9,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Oeko-Tex 100,0.1,,0.0,30.72
12,H&M,Jacket Oversized,€ 49.94,Man,Jacket,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Oeko-Tex 100,0.1,,0.0,49.94
13,Zara,Jumper Ribbed,€ 38.49,Man,Jumper,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Oeko-Tex 100,0.1,,0.0,38.49
14,Zara,Tshirt Cropped,€ 16.31,Man,Tshirt,Viscose,100.0,5.0,400.0,60.0,30.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,16.31
15,Patagonia,Jacket Textured,€ 225.54,Man,Jacket,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Fair Trade,0.2,Bluesign,0.2,225.54
16,Patagonia,Jacket Oversized,€ 170.44,Woman,Jacket,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,Bluesign,0.2,170.44
17,H&M,Jumper Textured,€ 19.00,Man,Jumper,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,19.0
18,H&M,Tshirt Textured,€ 18.27,Man,Tshirt,Lyocell,100.0,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,18.27
19,H&M,Sweater Regular Fit,€ 34.05,Woman,Sweater,Cashmere,50.0,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,RWS,0.15,,0.0,34.05
19,H&M,Sweater Regular Fit,€ 34.05,Woman,Sweater,Recycled Acrylic,50.0,3.5,15.0,55.0,20.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,RWS,0.15,,0.0,34.05
20,H&M,Sweater Slim Fit,€ 15.49,Man,Sweater,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Oeko-Tex 100,0.1,,0.0,15.49
21,H&M,Jacket Cropped,€ 28.81,Woman,Jacket,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,28.81
22,Patagonia,Jumper Regular Fit,€ 213.29,Woman,Jumper,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,213.29
23,Patagonia,Tshirt Ribbed,€ 45.11,Man,Tshirt,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,Fair Trade,0.2,Bluesign,0.2,45.11
24,H&M,Tshirt Textured,€ 14.47,Woman,Tshirt,Organic Cotton,2.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,14.47
24,H&M,Tshirt Textured,€ 14.47,Woman,Tshirt,Recycled Polyester,67.3,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,14.47
24,H&M,Tshirt Textured,€ 14.47,Woman,Tshirt,Elastane,30.7,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,14.47
25,Patagonia,Jumper Regular Fit,€ 119.85,Man,Jumper,Recycled Cashmere,25.9,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,119.85
25,Patagonia,Jumper Regular Fit,€ 119.85,Man,Jumper,Merino Wool,0.4,16.0,900.0,170.0,48.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,119.85
25,Patagonia,Jumper Regular Fit,€ 119.85,Man,Jumper,Organic Cotton,73.7,3.2,1800.0,40.0,20.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,119.85
26,Penneys,Jacket Slim Fit,€ 29.01,Woman,Jacket,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,29.01
27,Penneys,Tshirt Ribbed,€ 4.72,Man,Tshirt,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,4.72
28,Patagonia,Jumper Cropped,€ 238.49,Man,Jumper,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,238.49
29,H&M,Jumper Ribbed,€ 25.16,Man,Jumper,Cashmere,88.2,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,25.16
29,H&M,Jumper Ribbed,€ 25.16,Man,Jumper,Recycled Polyester,11.8,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,25.16
30,Patagonia,Sweater Cropped,€ 217.77,Man,Sweater,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,Bluesign,0.2,217.77
31,Patagonia,Jumper Ribbed,€ 144.51,Woman,Jumper,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,Bluesign,0.2,144.51
32,Patagonia,Jumper Asymmetric,€ 244.12,Woman,Jumper,Merino Wool,100.0,16.0,900.0,170.0,48.0,Hand wash,0.015,0.2,8.0,Turkey,0.4,0.2,0.45,Fair Trade,0.2,Bluesign,0.2,244.12
33,Zara,Jacket Asymmetric,€ 115.33,Woman,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,GRS,0.2,,0.0,115.33
34,Penneys,Jumper Textured,€ 20.18,Woman,Jumper,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,,0.0,,0.0,20.18
35,Patagonia,Sweater Cropped,€ 240.36,Woman,Sweater,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,,0.0,240.36
36,H&M,Jumper Regular Fit,€ 21.63,Man,Jumper,Acrylic,26.2,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,RWS,0.15,,0.0,21.63
36,H&M,Jumper Regular Fit,€ 21.63,Man,Jumper,Cashmere,26.4,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,RWS,0.15,,0.0,21.63
36,H&M,Jumper Regular Fit,€ 21.63,Man,Jumper,Cotton,47.4,6.0,2700.0,55.0,40.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,RWS,0.15,,0.0,21.63
37,Penneys,Tshirt Textured,€ 10.35,Man,Tshirt,Recycled Polyester,56.8,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,10.35
37,Penneys,Tshirt Textured,€ 10.35,Man,Tshirt,Cotton,43.2,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,10.35
38,H&M,Jumper Oversized,€ 22.04,Woman,Jumper,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,22.04
39,H&M,Tshirt Textured,€ 11.35,Man,Tshirt,Recycled Cotton,100.0,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,GRS,0.2,,0.0,11.35
40,Zara,Jacket Regular Fit,€ 96.45,Woman,Jacket,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,96.45
41,Penneys,Jumper Slim Fit,€ 10.17,Man,Jumper,Recycled Acrylic,26.7,3.5,15.0,55.0,20.0,Hand wash,0.015,0.2,8.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,10.17
41,Penneys,Jumper Slim Fit,€ 10.17,Man,Jumper,Recycled Cashmere,73.3,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,10.17
42,Zara,Tshirt Oversized,€ 25.60,Man,Tshirt,Recycled Cotton,30.3,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,GRS,0.2,,0.0,25.6
42,Zara,Tshirt Oversized,€ 25.60,Man,Tshirt,Lyocell,69.7,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,GRS,0.2,,0.0,25.6
43,H&M,Jumper Textured,€ 38.11,Man,Jumper,Merino Wool,100.0,16.0,900.0,170.0,48.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,38.11
44,H&M,Jacket Ribbed,€ 35.98,Man,Jacket,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,35.98
45,H&M,Jumper Slim Fit,€ 23.21,Woman,Jumper,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,,0.0,,0.0,23.21
46,Penneys,Tshirt Asymmetric,€ 10.89,Man,Tshirt,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,10.89
47,H&M,Tshirt Regular Fit,€ 11.52,Man,Tshirt,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,11.52
48,Zara,Sweater Asymmetric,€ 48.35,Woman,Sweater,Recycled Acrylic,42.8,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,48.35
48,Zara,Sweater Asymmetric,€ 48.35,Woman,Sweater,Recycled Polyester,57.2,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,48.35
49,Penneys,Sweater Textured,€ 22.42,Man,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,22.42
50,Penneys,Jacket Textured,€ 23.87,Woman,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,23.87
51,Zara,Sweater Slim Fit,€ 41.92,Woman,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,GRS,0.2,,0.0,41.92
52,Patagonia,Jacket Slim Fit,€ 275.39,Man,Jacket,Nylon,100.0,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Fair Trade,0.2,Bluesign,0.2,275.39
53,Penneys,Tshirt Cropped,€ 11.57,Woman,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,,0.0,,0.0,11.57
54,Zara,Tshirt Asymmetric,€ 14.90,Man,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,14.9
55,Patagonia,Jacket Ribbed,€ 153.94,Woman,Jacket,Recycled Polyester,87.3,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,153.94
55,Patagonia,Jacket Ribbed,€ 153.94,Woman,Jacket,Wool,12.7,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,153.94
56,H&M,Jumper Cropped,€ 18.03,Woman,Jumper,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,BCI Cotton,0.05,,0.0,18.03
57,Patagonia,Jacket Ribbed,€ 291.04,Man,Jacket,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,,0.0,291.04
58,Penneys,Jacket Textured,€ 22.18,Man,Jacket,Nylon,44.6,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,22.18
58,Penneys,Jacket Textured,€ 22.18,Man,Jacket,Cotton,55.4,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,22.18
59,Penneys,Tshirt Ribbed,€ 4.36,Man,Tshirt,Lyocell,4.8,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,4.36
59,Penneys,Tshirt Ribbed,€ 4.36,Man,Tshirt,Polyester,95.2,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,4.36
60,Penneys,Jacket Slim Fit,€ 16.87,Man,Jacket,Cotton,73.5,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,16.87
60,Penneys,Jacket Slim Fit,€ 16.87,Man,Jacket,Acrylic,26.5,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,16.87
61,Patagonia,Jacket Asymmetric,€ 336.83,Man,Jacket,Acrylic,37.2,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,,0.0,336.83
61,Patagonia,Jacket Asymmetric,€ 336.83,Man,Jacket,Wool,42.2,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,,0.0,336.83
61,Patagonia,Jacket Asymmetric,€ 336.83,Man,Jacket,Cotton,20.7,6.0,2700.0,55.0,40.0,Hand wash,0.015,0.2,8.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,,0.0,336.83
62,Zara,Jacket Ribbed,€ 61.83,Man,Jacket,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,RWS,0.15,,0.0,61.83
63,Zara,Jacket Ribbed,€ 118.46,Woman,Jacket,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Italy,0.3,0.1,0.35,,0.0,,0.0,118.46
64,Patagonia,Jumper Cropped,€ 169.25,Woman,Jumper,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,169.25
65,Penneys,Jacket Oversized,€ 37.56,Man,Jacket,Polyester,22.4,9.5,50.0,120.0,35.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,37.56
65,Penneys,Jacket Oversized,€ 37.56,Man,Jacket,Wool,6.3,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,37.56
65,Penneys,Jacket Oversized,€ 37.56,Man,Jacket,Acrylic,71.2,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,37.56
66,H&M,Sweater Ribbed,€ 31.25,Woman,Sweater,Wool,81.7,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,,0.0,,0.0,31.25
66,H&M,Sweater Ribbed,€ 31.25,Woman,Sweater,Cashmere,18.3,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,,0.0,,0.0,31.25
67,Patagonia,Tshirt Regular Fit,€ 77.65,Man,Tshirt,Organic Cotton,95.1,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,Fair Trade,0.2,,0.0,77.65
67,Patagonia,Tshirt Regular Fit,€ 77.65,Man,Tshirt,Recycled Polyester,4.9,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,Fair Trade,0.2,,0.0,77.65
68,Penneys,Tshirt Regular Fit,€ 3.23,Man,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,3.23
69,H&M,Jumper Asymmetric,€ 32.43,Man,Jumper,Recycled Acrylic,88.9,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,32.43
69,H&M,Jumper Asymmetric,€ 32.43,Man,Jumper,Organic Cotton,11.1,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,32.43
70,Penneys,Tshirt Regular Fit,€ 8.83,Woman,Tshirt,Lyocell,74.4,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,8.83
70,Penneys,Tshirt Regular Fit,€ 8.83,Woman,Tshirt,Recycled Cotton,25.6,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,8.83
71,Patagonia,Jumper Slim Fit,€ 126.42,Man,Jumper,Recycled Polyester,42.4,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,126.42
71,Patagonia,Jumper Slim Fit,€ 126.42,Man,Jumper,Acrylic,45.7,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,126.42
71,Patagonia,Jumper Slim Fit,€ 126.42,Man,Jumper,Recycled Acrylic,11.8,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,126.42
72,H&M,Sweater Slim Fit,€ 21.10,Man,Sweater,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Oeko-Tex 100,0.1,,0.0,21.1
73,Patagonia,Jumper Oversized,€ 219.67,Man,Jumper,Organic Cotton,44.8,3.2,1800.0,40.0,20.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,219.67
73,Patagonia,Jumper Oversized,€ 219.67,Man,Jumper,Wool,19.2,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,219.67
73,Patagonia,Jumper Oversized,€ 219.67,Man,Jumper,Recycled Cashmere,36.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,219.67
74,Patagonia,Jacket Regular Fit,€ 294.38,Man,Jacket,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,294.38
75,Zara,Jacket Textured,€ 59.46,Man,Jacket,Nylon,100.0,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,59.46
76,Penneys,Sweater Textured,€ 15.71,Man,Sweater,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,15.71
77,Penneys,Tshirt Textured,€ 7.82,Woman,Tshirt,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,7.82
78,Penneys,Sweater Asymmetric,€ 22.15,Man,Sweater,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,22.15
79,H&M,Jumper Oversized,€ 16.14,Woman,Jumper,Cashmere,100.0,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,RWS,0.15,,0.0,16.14
80,H&M,Tshirt Regular Fit,€ 9.27,Man,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,9.27
81,Patagonia,Tshirt Cropped,€ 37.94,Man,Tshirt,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,37.94
82,Penneys,Tshirt Ribbed,€ 4.07,Man,Tshirt,Elastane,39.4,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,4.07
